TypePlanet PlanetRadius(EU) Density(EU) Escapevelocity(EU) Surfacetemperature(K) InteriorESI SurfaceESI GlobalESI
Earth Planet 1.00 1.00 1.00 288 1.00 1.00 1.00
Mars Planet 0.53 0.71 0.45 227 0.82 0.60 0.70
Mercury Planet 0.38 0.98 0.38 440 0.84 0.42 0.60
Moon Planet 0.27 0.60 0.21 220 0.67 0.46 0.56
Venus Planet 0.95 0.95 0.93 730 0.98 0.20 0.44
Io Planet 0.29 0.64 0.23 130 0.69 0.19 0.36
Callisto Planet 0.38 0.33 0.22 134 0.58 0.20 0.34
Jupiter Planet 10.97 0.24 5.38 152 0.36 0.24 0.29
Ganymede Planet 0.41 0.35 0.25 110 0.60 0.14 0.29
Ceres Planet 0.08 0.36 0.05 167 0.41 0.18 0.27
Europa  Planet  0.25 0.55 0.18 102 0.64 0.11 0.26
Saturn Planet 9.14 0.12 3.23 134 0.28 0.22 0.25
Titan Planet 0.40 0.34 0.24 94 0.59 0.10 0.24
Uranus Planet 3.98 0.23 1.91 76 0.46 0.077 0.19
Neptune Planet 3.87 0.30 2.11 72 0.51 0.067 0.18
Titania Planet 0.12 0.31 0.07 60 0.43 0.025 0.10
Enceladus Planet 0.04 0.31 0.02 75 0.32 0.028 0.094
Pluto Planet 0.18 0.37 0.11 40 0.51 0.011 0.075
Triton Planet 0.21 0.38 0.13 38 0.54 0.010 0.074
GJ581g  Exo 1.36 1.22 1.51 277 0.90 0.88 0.89
GJ581b Exo 3.97 0.25 1.98 499 0.47 0.36 0.41
GJ581 Exo 1.60 1.36 1.87 380 0.85 0.58 0.70
GJ581d Exo 1.60 1.36 1.87 232 0.85 0.64 0.74
GJ581e Exo 1.16 1.10 1.21 591 0.95 0.30 0.53
GJ581f Exo 2.16 0.70 1.80 139 0.79 0.27 0.46
HD69830d Exo 4.19 0.25 2.10 312 0.47 0.77 0.60
55Cncc Exo 5.68 0.25 2.84 310 0.43 0.72 0.56
